Drug_Name,Reason,Description
Kombiglyze XR 5/1000mg Tablet 7'SKombiglyze XR 5/500mg Tablet 7'S,Diabetes,reduces the diabetes
Laformin G 1/500mg Tablet 10'SLaformin G 2/500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Laformin G Forte 1mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Laformin G2 Forte Tablet 10'S,Diabetes,reduces the diabetes
Laformin GP 2mg Tablet 10'SLaformin GP 1mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Laformin GV 2/500/0.2mg Tablet 10'SLaformin GV 1/500/0.2mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Lantus 100IU Cartridge 1X3mlLantus Solostar 100IU Pen(Prefilled) 1X3mlLantus Optiset 100IU Pen(Prefilled) 1X3mlLantus 100IU Injection 1X10ml,Diabetes,reduces the diabetes
Lantus Starter Kit 3ml,Diabetes,reduces sugar level diabetes
Levemir Flexpen 1X3ml,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Lexmet GP 2mg Tablet 10'S,Diabetes,reduces the diabetes
Life Pride M 1mg/500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Limer 2mg Tablet 10'SLimer 1mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Limer M 1mg/500mg Tablet 10'SLimer M 2mg/500mg Tablet 10'S,Diabetes,reduces the diabetes
Linpride 2Mg Tablet 10'sLinpride 1Mg Tablet 10's,Diabetes,reduces sugar level diabetes
Linpride Mf 2Mg Tablet 10'sLinpride Mf 1Mg Tablet 10's,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Lipaglyn 4mg Tablet 10'S,Diabetes,reduces the diabetes
Lipi 5mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Lipi M Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
LIZ 40mg Tablet 10'SLIZ 80mg Tablet 10'S,Diabetes,reduces the diabetes
LIZ M Tablet 10'S,Diabetes,reduces sugar level diabetes
Lodia Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Longmet 1000 SR Tablet 10'S,Diabetes,reduces the diabetes
Loyzide 80mg Tablet 15'SLoyzide 40mg Tablet 15'S,Diabetes,reduces sugar level diabetes
Loyzide M 30/500mg Tablet 15'SLoyzide M 40mg Tablet 10'SLoyzide M 80mg Tablet 15'SLoyzide M 80mg Tablet 10'SLOYZIDE M 40mg Tablet 15's,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Loyzide M XR 60mg Tablet 15'SLoyzide M XR 30mg Tablet 15'SLoyzide M XR 60mg Tablet 10'S,Diabetes,reduces the diabetes
Loyzide XR 60mg Tablet 10'SLoyzide XR 30mg Tablet 15'SLoyzide XR 60mg Tablet 15'S,Diabetes,reduces sugar level diabetes
Lunch ON 0.5mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
LUNCH ON 2mg Tablet 10'sLunch ON 1mg Tablet 10'S,Diabetes,reduces the diabetes
Lupisulin N 100IU Cartridge 1X3mlLupisulin M 50/50 40IU Injection 1X10mlLupisulin R 100IU Cartridge 1X3mlLupisulin R 40IU Injection 1X10mlLupisulin M 30/70 40IU Injection 1X10mlLupisulin Pen(Device)Lupisulin N 40IU Injection 1X10mlLupisulin M30 30/70 100IU Cartridge 5X3ml,Diabetes,reduces sugar level diabetes
Lupisulin M30 30/70 100IU Cartridge 1X3ml,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Lupisulin R 100IU Injection 1X10ml,Diabetes,reduces the diabetes
Lycazid M Tablet 10'SLycazid 80mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Lyxumia 10mcg Pen Injection 3mlLyxumia 20mcg Pen Injection 3ml,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
M Forlin Tablet 10'S,Diabetes,reduces the diabetes
M Forlin SR 1000mg Tablet 10'S,Diabetes,reduces sugar level diabetes
M Pride 1mg Tablet 10'SM Pride 2mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Matce Er 1000Mg Tablet 10's,Diabetes,reduces the diabetes
Matce G1 Tablet 10's,Diabetes,reduces sugar level diabetes
Matce G2 Tablet 10's,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Matce P15 Tablet 10'S,Diabetes,reduces the diabetes
Matce Vg 1Mg Tablet 10'sMatce Vg 2Mg Tablet 10's,Diabetes,reduces sugar level diabetes
Matce Vg Forte 2Mg Tablet 10'sMatce Vg Forte 1Mg Tablet 10'sMatce Vg Forte 3Mg Tablet 10's,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Maxfor SR 1000mg Tablet 10'S,Diabetes,reduces the diabetes
Maxformin 750mg Tablet 15'SMaxformin 1gm Tablet 15'S,Diabetes,reduces sugar level diabetes
Maydine 2mg Tablet 10'SMaydine 4mg Tablet 10'SMaydine 1mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Maydine M 2mg/500mg Tablet 10'SMaydine M 1mg/500mg Tablet 10'S,Diabetes,reduces the diabetes
Mclazide M 60 XR Tablet 10'S,Diabetes,reduces sugar level diabetes
Mclazide M Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Mclazide MR 60mg Tablet 10'S,Diabetes,reduces the diabetes
Medfor 850mg Tablet 10'SMedfor 500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Medfor GP 1mg Tablet 10'SMedfor GP 2mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Medfor SR 1000mg Tablet 10'S,Diabetes,reduces the diabetes
Medfor V 0.3/500mg Tablet 10'SMedfor V 0.2/500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Medimet G 2mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Mefomin GZ 80/500mg Tablet 15'S,Diabetes,reduces the diabetes
Mefomin SR 500mg Tablet 10'SMefomin SR 1000mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Megabose 0.3mg Tablet 10'SMegabose 0.2mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Megabose MF 0.3/500mg Tablet 10'S,Diabetes,reduces the diabetes
Megabose MF 0.2 Tablet 10'S,Diabetes,reduces sugar level diabetes
Megagliptin 20mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Megagliptin MF 20/500mg Tablet 10'S,Diabetes,reduces the diabetes
Megagliptin MF Forte Tablet 10'S,Diabetes,reduces sugar level diabetes
Megamet G 2mg Tablet 10'SMegamet G 1mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Megavog 0.3mg Tablet 10'SMegavog 0.3mg Tablet 30'SMegavog 0.2mg Tablet 30'S,Diabetes,reduces the diabetes
Megavog MF 0.3/500mg Tablet 10'SMegavog MF 0.2/500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Melmet SR 1gm Tablet 15'SMelmet 850mg Tablet 10'SMelmet 500mg Tablet 20'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Melmet SR 500mg Tablet 20'SMelmet SR 1000mg Tablet 10'S,Diabetes,reduces the diabetes
Mepride 2mg Tablet 10'SMepride 4mg Tablet 10'SMepride 1mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Mepride DM 1mg/1000mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Mesite SR 1000mg Tablet 10'SMesite SR 500mg Tablet 10'S,Diabetes,reduces the diabetes
MET DM 850mg Tablet 10'SMET DM 500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
MET DM XL 1000mg Tablet 10'SMET DM XL 850mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
MET Innovfol Tablet 10'S,Diabetes,reduces the diabetes
MET Janisha 20/500mg Tablet 10'SMET Janisha 20/1000mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metabest 500mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metaday 500mg Tablet 10'SMetaday 1gm Tablet 10'S,Diabetes,reduces the diabetes
Metadoze Ipr 850mg Tablet 10'SMetadoze Ipr 500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metadoze V 0.3mg Tablet 10'SMetadoze V 0.2mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metafort 1000mg Tablet 15'SMetafort 500mg Tablet 15'SMetafort 1gm Tablet 10'S,Diabetes,reduces the diabetes
Metafort G 851mg Tablet 10'SMetafort G 853mg Tablet 10'SMetafort G 852mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metafort G1 CP Tablet 30'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metafort G2 CP Tablet 30'S,Diabetes,reduces the diabetes
Metaglez Forte Tablet 10'S,Diabetes,reduces sugar level diabetes
Metanorm SR 500mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metaphage GL Tablet 10'SMetaphage SR Tablet 10'S,Diabetes,reduces the diabetes
Metasens 500mg Tablet 10'SMetasens 1gm Tablet 10'SMetasens 850mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metasens V 0.2mg Tablet 10'SMetasens V 0.3mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metasens VG 2mg Tablet 10'SMetasens VG 1mg Tablet 10'S,Diabetes,reduces the diabetes
Metatime 500mg Tablet 15'SMetatime XR 500mg Tablet 10'SMetatime 500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metatime XR 1000mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metbay 500mg Tablet 10'SMetbay 1gm Tablet 10'S,Diabetes,reduces the diabetes
Metbay SR 1000mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metben Plus Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metbetic 500mg Tablet 10'SMETBETIC Tablet 10's,Diabetes,reduces the diabetes
METBETIC G Tablet 10's,Diabetes,reduces sugar level diabetes
Metbetic GL 1mg Tablet 10'SMetbetic GL 2mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
METCALF SR 500mg Tablet 10's,Diabetes,reduces the diabetes
Metchek 500mg Tablet 10'SMetchek 850mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metchek SR 500mg Tablet 10'SMetchek SR 1gm Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metclam 2.5mg Tablet 10'S,Diabetes,reduces the diabetes
Metclam Forte 5mg Tablet 15'S,Diabetes,reduces sugar level diabetes
Metcom SR 1000mg Tablet 10'SMetcom SR 500mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
METFAITH 500mg Tablet 10'sMETFAITH 1000mg Tablet 10's,Diabetes,reduces the diabetes
METFAITH G1 Tablet 10's,Diabetes,reduces sugar level diabetes
METFAITH G1 FORTE Tablet 10's,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
METFAITH G2 Tablet 10's,Diabetes,reduces the diabetes
METFAITH G2 FORTE Tablet 10's,Diabetes,reduces sugar level diabetes
METFAITH PG1 Tablet 10's,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metffil G1 Tablet 10'S,Diabetes,reduces the diabetes
Metffil G2 Tablet 10'S,Diabetes,reduces sugar level diabetes
Metffil V 0.3/500mg Tablet 10'SMetffil V 0.2/500mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metffil VG 2/0.3mg Tablet 10'SMetffil VG 2mg Tablet 15'S,Diabetes,reduces the diabetes
Metffil Vg1 Tablet 15'S,Diabetes,reduces sugar level diabetes
Metfil 500mg Tablet 10'SMetfil Cream 15gm,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metfine Ipr 500mg Tablet 10'S,Diabetes,reduces the diabetes
Metfor 500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metfor G Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metfortal SR 500mg Tablet 10'SMetfortal SR 1000mg Tablet 10'S,Diabetes,reduces the diabetes
Metfotime 500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metfotime SR 1000mg Tablet 10'SMetfotime SR 500mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metgem 1000mg Tablet 10'SMetgem 500mg Tablet 10'S,Diabetes,reduces the diabetes
Metglar 2mg Tablet 10'SMetglar 2/1000mg Tablet 10'SMetglar 1/1000mg Tablet 10'SMetglar 1mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metglar Forte 2mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metgli 2mg Tablet 10'SMetgli 1mg Tablet 10'S,Diabetes,reduces the diabetes
Metgli Forte 2mg Tablet 10'SMetgli Forte 1mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metgli V 2mg Tablet 10'SMetgli V 1mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metital 250 Tablet 10'S,Diabetes,reduces the diabetes
Metkin 500mg Tablet 15'S,Diabetes,reduces sugar level diabetes
Metkin SR 1000mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metlead Forte SR Tablet 10'SMetlead G1 Tablet 10'SMetlead SR 500mg Tablet 10'S,Diabetes,reduces the diabetes
Metlead G 1/500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metlead G Forte 2mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metlead G1 Forte Tablet 10'S,Diabetes,reduces the diabetes
Metlead G2 Tablet 10'S,Diabetes,reduces sugar level diabetes
Metlife 500mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metlife SR 1000mg Tablet 10'S,Diabetes,reduces the diabetes
Metlong DS 1gm Tablet 10'SMetlong 500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metlong P 15mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metlong SR 1000mg Tablet 10'S,Diabetes,reduces the diabetes
Metlong V 0.2/500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metmin Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metmin A Tablet 10'S,Diabetes,reduces the diabetes
METNEED 500mg Tablet 10'sMETNEED 850mg Tablet 10's,Diabetes,reduces sugar level diabetes
Metofix SR 1000mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metofix XL 500mg Tablet 10'SMetofix XL 1000mg Tablet 10'S,Diabetes,reduces the diabetes
Metormin 500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metpath 1000mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metpath G1 Tablet 10'S,Diabetes,reduces the diabetes
Metpath G2 Tablet 10'S,Diabetes,reduces sugar level diabetes
Metpath Gp2 Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metpco Care Tablet 10'S,Diabetes,reduces the diabetes
Metpio 15mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metride 1mg Tablet 15'SMetride 2mg Tablet 15'SMetride 1/500mg Tablet 10'SMetride 2mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metride DS 1mg Tablet 10'SMETRIDE DS 1mg Tablet 15'sMETRIDE DS 2mg Tablet 15'sMetride DS 2mg Tablet 10'S,Diabetes,reduces the diabetes
Metride Plus 2mg Tablet 10'SMetride Plus 1mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metsafe SR 1000mg Tablet 10'SMetsafe SR 500mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metsar 500mg Tablet 10'S,Diabetes,reduces the diabetes
Metsar SR 1000mg Tablet 10'S,Diabetes,reduces sugar level diabetes
METSIG SR 1000mg Tablet 10'sMETSIG SR 500mg Tablet 10's,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metsmall 500mg Tablet 10'SMetsmall 500mg Tablet 28'SMetsmall 1000mg Tablet 14'S,Diabetes,reduces the diabetes
Metsurge G 2mg/500mg Tablet 10'SMetsurge G 1mg/500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Metsurge SR 1000mg Tablet 10'SMetsurge SR 500mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Metvomin Xr 1000Mg Tablet 10'sMetvomin Xr 500Mg Tablet 10's,Diabetes,reduces the diabetes
Miglicon 25mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Miglit 25mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Mignar 25mg Tablet 15'SMignar 50mg Tablet 10'SMignar 25mg Tablet 10'SMignar 50mg Tablet 15'S,Diabetes,reduces the diabetes
Mignar MF 50mg Tablet 10'SMignar MF 25mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Migset 25mg Tablet 10'SMigset 50mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Migtor 50mg Tablet 10'SMigtor 25mg Tablet 10'S,Diabetes,reduces the diabetes
Minimet 500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Minsugar G 1/500mg Tablet 10'SMinsugar G 2/500mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Misobit 25mg Tablet 10'SMisobit MD 25mg Tablet 10'SMisobit 50mg Tablet 10'SMisobit Plus 50mg Tablet 10'S,Diabetes,reduces the diabetes
Misobit MD 50mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Mixtard 50Hm Penfill Cartridge 5X3mlMixtard 50 Novolet Pen 1X3mlMixtard 30 100IU Flexpen 1X3mlHuman Mixtard 30/70 100IU Injection 1X10mlMixtard 30Hm Penfill Cartridge 5X3mlHuman Mixtard 30/70 40IU Injection 1X10mlHuman Mixtard 50/50 40IU Injection 1X10ml,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Mixtard 30Hm Penfill Cartridge 1X3ml,Diabetes,reduces the diabetes
Mixtard 50Hm Penfill Cartridge 1X3ml,Diabetes,reduces sugar level diabetes
MOFIN A Tablet 10's,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
MOFIN G FORTE Tablet 10's,Diabetes,reduces the diabetes
MOFIN SR 500mg Tablet 10's,Diabetes,reduces sugar level diabetes
Monomet GM Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Monomet XL 1000mg Tablet 10'SMonomet XL 500mg Tablet 10'S,Diabetes,reduces the diabetes
Mopaday 15mg Tablet 10'SMopaday 15mg Tablet 15'S,Diabetes,reduces sugar level diabetes
Motivyst 300mg Tablet 10'SMotivyst 300mg Tablet 30'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
MR Met 1000mg Tablet 10'S,Diabetes,reduces the diabetes
Myformin 500mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Myocyst Powder 3Gm,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Myocyst M Tablet 10'S,Diabetes,reduces the diabetes
Mypen Injection 1'S,Diabetes,reduces sugar level diabetes
N Met 500mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
N Met G1 1/500mg Tablet 15'S,Diabetes,reduces the diabetes
N Met G2 2/500mg Tablet 15'S,Diabetes,reduces sugar level diabetes
Nabal 1mg Tablet 7'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
NATIZ 60mg Tablet 10's,Diabetes,reduces the diabetes
NEW Triclazone 40mg Tablet 10'SNEW Triclazone 80mg Tablet 10'S,Diabetes,reduces sugar level diabetes
NEW Triglucored Forte Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
NEW Trophox Powder 200gm,Diabetes,reduces the diabetes
Norditropin Nordilet 5mg Injection 1'S,Diabetes,reduces sugar level diabetes
Normaglim 1mg Tablet 300'SNormaglim 2mg Tablet 15'SNormaglim 1mg Tablet 15'SNormaglim 4mg Tablet 15'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Normaglim P 15/1mg Tablet 10'SNormaglim P 15/2mg Tablet 10'S,Diabetes,reduces the diabetes
Novofine 31G 1'S,Diabetes,reduces sugar level diabetes
Novomix 30 Flexpen 1X3mlNovomix 30 Penfill Cartridge 5X3mlNovomix 50 Flexpen 1X3ml,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Novomix 30 Penfill Cartridge 1X3ml,Diabetes,reduces the diabetes
Novomix 50 Penfill Cartridge 1X3ml,Diabetes,reduces sugar level diabetes
Novonorm 0.5mg Tablet 15'SNovonorm 2mg Tablet 15'SNovonorm 0.5mg Tablet 30'SNovonorm 1mg Tablet 15'SNovonorm 2mg Tablet 30'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Novopen Device 1'SNovopen 5 Pen,Diabetes,reduces the diabetes
Novopen 4 Pen(Device),Diabetes,reduces sugar level diabetes
Novorapid Penfill Cartridge 1X3mlNovorapid 100IU Injection 1X10mlNovorapid Flexpen 1X3ml,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Nuglim M 2mg/500mg Tablet 10'S,Diabetes,reduces the diabetes
Nuzide 40mg Tablet 10'SNuzide 80mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Nuzide M Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Nuzide XL 60mg Tablet 10'SNuzide XL 30mg Tablet 10'S,Diabetes,reduces the diabetes
O Berry 0.2mg Tablet 10'SO Berry 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes
O Berry M 0.2mg Tablet 10'SO Berry M 0.3mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Obax Tablet 10'S,Diabetes,reduces the diabetes
Obiglo MD 0.2mg Tablet 10'SObiglo MD 0.3mg Tablet 20'SObiglo MD 0.3mg Tablet 10'SObiglo MD 0.2mg Tablet 20'S,Diabetes,reduces sugar level diabetes
Obimet GX Forte 1mg Tablet 10'STriobimet 2mg Tablet 10'SObimet 500mg Tablet 15'SObimet Gx1 Tablet 10'SObimet 500mg Tablet 10'SObimet Gx1 Forte Tablet 15'SObimet SR 1gm Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Obimet GX 0.5/500mg Tablet 10'S,Diabetes,reduces the diabetes
Obimet Gx1 Tablet 15'S,Diabetes,reduces sugar level diabetes
Obimet Gx2 Tablet 15'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Obimet Gx2 Forte Tablet 10'S,Diabetes,reduces the diabetes
Obimet SR 500mg Tablet 15'SObimet SR 1gm Tablet 15'S,Diabetes,reduces sugar level diabetes
Obimet V 0.2mg Tablet 10'SObimet V 0.3mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Odiglim 1mg Tablet 10'SOdiglim 2mg Tablet 10'S,Diabetes,reduces the diabetes
Oglibo MD 0.2mg Tablet 20'SOglibo MD 0.3mg Tablet 20'S,Diabetes,reduces sugar level diabetes
Oglo 15mg Tablet 10'SOglo 45mg Tablet 10'SOglo 30mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Okamet Tablet 20'S,Diabetes,reduces the diabetes
Olitaz 7.5Mg Tablet 10's,Diabetes,reduces sugar level diabetes
Olymprix 20mg Tablet 15'SOlymprix 20mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Olymprix M 1000mg Tablet 15'SOlymprix M 500mg Tablet 15'SOlymprix M 500mg Tablet 10'SOlymprix M 1000mg Tablet 10'S,Diabetes,reduces the diabetes
Ondero 5mg Tablet 10'S,Diabetes,reduces sugar level diabetes
Ondero Met 2.5/1000mg Tablet 10'SOndero Met 2.5/850mg Tablet 10'SOndero Met 2.5/500mg Tablet 10'S,Diabetes,"type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able control your blood sugar levels"
Onglyza 2.5mg Tablet 14'SOnglyza 5mg Tablet 14'S,Diabetes,reduces the diabetes
Opam 30mg Tablet 10'SOpam 15mg Tablet 10'S,Diabetes,reduces sugar level diabetes
